,p_val,avg_logFC,pct.1,pct.2,p_val_adj
Itgae,2.09E-44,-0.09833867,0.177,0.256,2.83E-40
Itgb7,4.42E-44,-0.115194245,0.255,0.34,5.98E-40
Pnpla8,5.80E-44,-0.061918566,0.088,0.151,7.86E-40
Cfl1,6.56E-44,0.089385232,0.99,0.982,8.88E-40
Irf9,1.22E-43,-0.082184205,0.137,0.209,1.66E-39
Rab3ip,3.44E-43,-0.095785712,0.193,0.273,4.65E-39
Rsrp1,5.46E-43,-0.125942496,0.493,0.585,7.39E-39
Bst2,2.81E-42,-0.124987654,0.23,0.311,3.80E-38
Lfng,3.51E-42,-0.092870427,0.131,0.2,4.75E-38
Sox4,1.58E-41,0.174803407,0.546,0.474,2.13E-37
Cdc42se1,3.93E-41,-0.094097138,0.309,0.396,5.33E-37
Elovl5,2.98E-40,-0.086426419,0.235,0.316,4.04E-36
Igfbp4,4.31E-40,-0.198592168,0.068,0.121,5.84E-36
Sertad1,8.63E-40,-0.091515516,0.324,0.416,1.17E-35
Morf4l2,8.98E-40,-0.106243624,0.211,0.288,1.22E-35
Gimap3,6.25E-39,-0.117364046,0.269,0.348,8.46E-35
Uba52,7.24E-39,0.109068219,0.976,0.963,9.80E-35
Samhd1,8.22E-39,-0.08533084,0.109,0.171,1.11E-34
Sidt1,1.33E-38,0.066884745,0.108,0.058,1.80E-34
Lmbr1l,1.41E-38,-0.068480021,0.175,0.25,1.90E-34
Tdrp,1.47E-38,-0.095620567,0.229,0.308,1.99E-34
Eef1a1,1.97E-38,0.072214702,1,1,2.67E-34
H2-Q7,9.90E-38,-0.075931197,0.124,0.19,1.34E-33
Jpt1,1.39E-37,-0.095744591,0.502,0.593,1.88E-33
B2m,5.57E-37,-0.135011388,0.852,0.855,7.54E-33
Prdx6,1.36E-36,-0.109238531,0.532,0.611,1.84E-32
Crem,1.42E-36,-0.072778689,0.143,0.21,1.92E-32
Rras2,1.66E-36,-0.090380296,0.176,0.245,2.25E-32
Ccr7,1.89E-36,-0.240043031,0.459,0.513,2.56E-32
Hectd1,2.23E-36,-0.085821919,0.334,0.418,3.02E-32
Psme2,2.41E-36,-0.108940281,0.415,0.496,3.27E-32
Sesn1,4.19E-36,-0.080442629,0.262,0.342,5.68E-32
Nr4a1,4.27E-36,0.192450889,0.423,0.349,5.78E-32
H2afv,1.79E-35,-0.094466109,0.476,0.572,2.42E-31
Laptm4a,2.22E-35,-0.078880454,0.272,0.351,3.00E-31
Rps12,2.87E-35,0.129836288,0.954,0.935,3.88E-31
Gm11808,3.09E-35,-0.095608824,0.491,0.573,4.18E-31
Pja1,4.95E-35,-0.086175914,0.223,0.298,6.70E-31
Fbxo32,5.79E-35,-0.056260493,0.085,0.14,7.84E-31
Txnip,1.20E-34,-0.117721131,0.526,0.604,1.62E-30
Odc1,1.85E-34,-0.082950695,0.207,0.28,2.51E-30
Tmbim6,2.28E-34,-0.08801365,0.592,0.672,3.08E-30
Cd7,2.85E-34,-0.128675225,0.182,0.249,3.86E-30
Ifi27,2.92E-34,-0.096083201,0.321,0.4,3.96E-30
Ifi47,4.50E-34,-0.127561858,0.279,0.353,6.09E-30
H2-T22,1.51E-33,-0.112434367,0.615,0.693,2.05E-29
Cnbp,1.53E-33,-0.089243747,0.847,0.871,2.08E-29
Gm16286,2.71E-33,-0.078686176,0.336,0.415,3.66E-29
Ube2a,3.01E-33,-0.070979418,0.254,0.33,4.07E-29
Ptp4a1,3.63E-33,-0.085380593,0.277,0.355,4.91E-29
Smchd1,5.56E-33,-0.075406984,0.251,0.326,7.52E-29
Pnpla2,6.26E-33,-0.063381327,0.159,0.224,8.47E-29
Mbnl1,6.92E-33,-0.101916476,0.553,0.627,9.38E-29
Tmsb4x,4.06E-32,0.092746392,0.995,0.994,5.49E-28
Maf1,5.51E-32,-0.075474958,0.385,0.471,7.45E-28
Rps28,8.25E-32,0.084754248,0.999,0.998,1.12E-27
Tagln2,1.22E-31,-0.108922417,0.373,0.449,1.65E-27
H2-D1,1.51E-31,-0.148903864,0.65,0.676,2.05E-27
Rasal3,1.93E-31,-0.079172835,0.407,0.489,2.61E-27
Rbm38,3.71E-31,-0.101260181,0.414,0.492,5.02E-27
Tmsb10,3.76E-31,-0.105639145,0.986,0.988,5.09E-27
Malat1,3.98E-31,0.134846538,0.982,0.975,5.39E-27
Hist1h1e,1.25E-30,0.0852513,0.196,0.138,1.69E-26
Trafd1,3.07E-30,-0.057628469,0.093,0.145,4.15E-26
Srsf2,3.57E-30,-0.089915312,0.506,0.588,4.83E-26
G3bp2,1.86E-29,-0.076374821,0.348,0.425,2.52E-25
Ifi35,1.90E-29,-0.060609554,0.147,0.207,2.57E-25
Eif2ak3,2.32E-29,-0.070908042,0.161,0.223,3.14E-25
Wsb1,2.39E-29,-0.066149479,0.25,0.323,3.23E-25
Pdia3,2.54E-29,-0.080519973,0.423,0.502,3.44E-25
Zfp36l2,2.57E-29,-0.115496049,0.506,0.58,3.48E-25
Smc4,2.96E-29,-0.103382456,0.514,0.59,4.01E-25
Brd2,2.97E-29,-0.094885576,0.483,0.561,4.02E-25
Ss18,3.13E-29,-0.062625587,0.19,0.255,4.24E-25
H2-K1,5.17E-29,-0.18096105,0.553,0.585,7.00E-25
Arid5a,5.85E-29,-0.073849937,0.181,0.243,7.93E-25
Glul,6.20E-29,-0.088624946,0.321,0.396,8.40E-25
H2-T23,8.28E-29,-0.070213877,0.257,0.328,1.12E-24
Calm2,8.37E-29,-0.101671019,0.558,0.633,1.13E-24
Dtx1,1.39E-28,-0.052951073,0.068,0.112,1.88E-24
Rgcc,1.43E-28,-0.120148977,0.53,0.602,1.94E-24
Tpr,2.33E-28,-0.076171293,0.477,0.559,3.16E-24
Atp6v0e,3.50E-28,-0.067202308,0.321,0.395,4.74E-24
Rpl23,3.58E-28,0.071719062,0.998,0.997,4.85E-24
Capza2,3.80E-28,-0.069653335,0.37,0.447,5.14E-24
Syf2,4.06E-28,-0.072117536,0.374,0.449,5.50E-24
Cyth1,4.15E-28,-0.06511131,0.262,0.333,5.62E-24
Tnfaip8l2,5.60E-28,-0.066162978,0.122,0.175,7.58E-24
Ms4a4b,7.39E-28,-0.137966206,0.398,0.464,1.00E-23
Mier1,8.46E-28,-0.092521372,0.435,0.515,1.15E-23
Minpp1,8.54E-28,-0.059896831,0.186,0.249,1.16E-23
Prkar1a,1.17E-27,-0.083406578,0.637,0.707,1.58E-23
Mat2a,1.43E-27,-0.080272547,0.321,0.391,1.94E-23
Vgll4,1.87E-27,-0.071021964,0.33,0.404,2.53E-23
Tapbp,2.17E-27,-0.076984989,0.264,0.331,2.94E-23
Pld3,2.44E-27,-0.079970891,0.36,0.434,3.31E-23
Jun,2.61E-27,0.110342812,0.423,0.352,3.53E-23
Zc3hav1,2.82E-27,-0.075248983,0.298,0.367,3.82E-23
Isg15,3.23E-27,-0.103281891,0.136,0.19,4.38E-23
Ifi208,3.73E-27,-0.073625253,0.142,0.198,5.06E-23
Tpm4,7.40E-27,-0.077995946,0.252,0.316,1.00E-22
Poldip3,8.87E-27,-0.05532201,0.173,0.233,1.20E-22
